Keys,Values_en,Values_de
exp-cnc-summary,"Conceptualized and developed an innovative IoT cloud-connected CNC manufacturing solution from concept to MVP in 4 months, creating a complete product ecosystem including hardware (3-axis portable CNC machine), SaaS platform, and subscription business model that reduced manufacturing costs.","Konzipiert und entwickelt eine innovative, mit der IoT-Cloud verbundene CNC-Fertigungslösung vom Konzept bis zum MVP in 4 Monaten und erstellt ein komplettes Produktökosystem einschließlich Hardware (tragbare 3-Achsen-CNC-Maschine), SaaS-Plattform und Abonnement-Geschäftsmodell, das die Herstellungskosten senkt."
exp-adas-sme-title,ADAS Subject Matter Expert (SME),ADAS-Fachexperte (SME)
exp-adas-sme-summary,I was responsible for delivering technical architecture and product development for multiple Level 1-2 ADAS features for Qualcomm's automotive platform.,Ich war für die Bereitstellung der technischen Architektur und Produktentwicklung für mehrere ADAS-Funktionen der Stufen 1–2 für die Automobilplattform von Qualcomm verantwortlich.
exp-adas-aspice-title,ADAS ASPICE SYS-5 Verification and Validation.,ADAS ASPICE SYS-5 Verifizierung und Validierung.
exp-adas-aspice-summary,Built a comprehensive test strategy for Qualcomm's ADAS level-1 and level-2 features as per the ASPICE SYS-5 Requirements V&V model.,Erstellte eine umfassende Teststrategie für die ADAS-Funktionen der Stufe 1 und 2 von Qualcomm gemäß dem ASPICE SYS-5 Requirements V&V-Modell.
exp-bmw-cv-title,Computer Vision Engineer,Computer Vision Engineer
exp-bmw-cv-place-duration,"KPIT GmbH | Munich, Germany | June 2019 - Feb 2020","KPIT GmbH | München, Deutschland | Juni 2019 – Februar 2020"
exp-bmw-cv-summary,"Delivered C++ validation framework for BMW's autonomous driving vehicle camera systems, establishing objective performance metrics and visualization tools for Mobileye camera integration in autonomous vehicle deployment.","Bereitstellung eines C++-Validierungsframeworks für die Kamerasysteme der autonom fahrenden Fahrzeuge von BMW, Festlegung objektiver Leistungsmetriken und Visualisierungstools für die Integration der Mobileye-Kamera in den Einsatz autonomer Fahrzeuge."
exp-anova-title,Network and ML Engineer,Netzwerk- und ML-Ingenieur
exp-anova-place-duration,"Anova Data (Movik Networks) | Bengaluru, India | Feb 2017 - May 2019","Anova Data (Movik Networks) | Bengaluru, Indien | Februar 2017 – Mai 2019"
exp-anova-summary,Built Highly scalable Analytical tools and software using C++/DPDK for the Telecom service provides. Which helps the Service providers to identify the anamolies in their Telecom network infrastructure.,"Entwicklung hochgradig skalierbarer Analysetools und -software mit C++/DPDK für Telekommunikationsdienstleister. Diese helfen den Dienstanbietern, Anomalien in ihrer Telekommunikationsnetzwerkinfrastruktur zu identifizieren."
exp-moto-title,Senior Software Engineer,Senior Software Engineer
exp-moto-place-duration,"Arris (Motorola) | Bengaluru, India | June 2011 - Jan 2017","Arris (Motorola) | Bengaluru, Indien | Juni 2011 – Januar 2017"
exp-moto-summary,"Developed critical software components for set-top boxes and cable modems, architecting innovative video recording systems and Digital Rights Management solutions that enhanced user experience and content security.","Entwickelte wichtige Softwarekomponenten für Set-Top-Boxen und Kabelmodems und entwarf innovative Videoaufzeichnungssysteme und Digital Rights Management-Lösungen, die das Benutzererlebnis und die Inhaltssicherheit verbesserten."
exp-mt-title,Senior Software Engineer,Senior Software Engineer
exp-mt-place-duration,"MindTree Ltd | Bengaluru, India | Sept 2008 - June 2011","MindTree Ltd | Bengaluru, Indien | September 2008 – Juni 2011"
exp-mt-summary,"Led implementation of Conax Conditional Access System for DishTV's set-top box platform, delivering critical security components that protected premium content and enabled subscription-based business model through rigorous certification process.","Leitete die Implementierung des Conax Conditional Access Systems für die Set-Top-Box-Plattform von DishTV und lieferte kritische Sicherheitskomponenten, die Premium-Inhalte schützten und durch einen strengen Zertifizierungsprozess ein abonnementbasiertes Geschäftsmodell ermöglichten."
exp-read-more-link,Read More,Mehr lesen
exp-details-ai-auto-title,AI Automation Consultant,Berater für KI-Automatisierung
exp-ai-auto-place-duration,"Freelance | Düsseldorf, Germany | Mar 2025 - June 2025","Freiberuflich | Düsseldorf, Deutschland | März 2025 - Juni 2025"
exp-details-gastro-title,Independent Product Consultant,Unabhängiger Produktberater
exp-gastro-place-duration,"Freelance | Düsseldorf, Germany | Nov 2024 - April 2025","Freiberuflich | Düsseldorf, Deutschland | Nov. 2024 - April 2025"
exp-details-gastro-clients,Gastrosmart GmbH,Gastrosmart GmbH
exp-details-gastro-text,"Delivered complete SaaS platform modernization for GastroSmart GmbH, transforming the legacy catering management system into a scalable NextJS/NestJS solution that improved performance and reduced operational costs. Directed end-to-end redevelopment while ensuring zero service disruption during customer transition.","Für die GastroSmart GmbH wurde eine komplette Modernisierung der SaaS-Plattform durchgeführt. Das bestehende Catering-Management-System wurde in eine skalierbare NextJS/NestJS-Lösung umgewandelt, die die Leistung verbesserte und die Betriebskosten senkte. Die komplette Neuentwicklung wurde geleitet, ohne dass es während der Kundenumstellung zu Serviceunterbrechungen kam."
exp-details-gastro-text-point-1,Executed comprehensive customer discovery with stakeholder interviews to identify pain points and develop a product roadmap.,"Umfassende Kundengewinnung mit Stakeholder-Interviews durchgeführt, um Schwachstellen zu identifizieren und eine Produkt-Roadmap zu entwickeln."
exp-details-gastro-text-point-2,"Built and optimized product backlog with prioritized user stories, translating business requirements into actionable development tasks.",Erstellt und optimiert den Produkt-Backlog mit priorisierten User Stories und übersetzt Geschäftsanforderungen in umsetzbare Entwicklungsaufgaben.
exp-details-gastro-text-point-3,"Directed a cross-functional team of frontend and backend developers, providing strategic direction while removing roadblocks.","Leitete ein funktionsübergreifendes Team aus Frontend- und Backend-Entwicklern, gab strategische Anweisungen und beseitigte gleichzeitig Hindernisse."
exp-details-gastro-text-point-4,Created a comprehensive documentation of the interfaces using the OpenAPI Specification.,Erstellte eine umfassende Dokumentation der Schnittstellen unter Verwendung der OpenAPI-Spezifikation.
exp-details-gastro-text-point-5,"Deployed Kanban Agile methodology, establishing workflows and ceremonies that improved team productivity by 30%","Einführung der agilen Kanban-Methodik und Etablierung von Arbeitsabläufen und Zeremonien, die die Teamproduktivität um 30 % steigerten"
exp-details-gastro-text-point-6,Architected a data migration strategy that preserved historical data while enabling new system capabilities without service interruption.,"Entwicklung einer Datenmigrationsstrategie, die historische Daten bewahrt und gleichzeitig neue Systemfunktionen ohne Dienstunterbrechung ermöglicht."
exp-details-gastro-text-point-7,"Managed stakeholder expectations through regular demos and progress updates, ensuring alignment between client vision and delivered product.","Managed Stakeholder-Erwartungen durch regelmäßige Demos und Fortschrittsaktualisierungen, um die Übereinstimmung zwischen der Vision des Kunden und dem gelieferten Produkt sicherzustellen."
exp-details-gastro-techstack,Technology Stack,Technologie-Stack
exp-details-gastro-techstack-point-1,"Go, NextJS, NestJS, Azure Cloud, GCP workflows, Prisma ORM, Node.js, Typescript, Javascript, React, REST API, OAuth2, OWASP, Redis, PostgreSQL, PGAdmin, Elixir, Phoenix, CI/CD, Linux, Curl, Nu-shell, Bash, Scripting GitHub, Linux, DevOps","Go, NextJS, NestJS, Azure Cloud, GCP-Workflows, Prisma ORM, Node.js, Typescript, Javascript, React, REST-API, OAuth2, OWASP, Redis, PostgreSQL, PGAdmin, Elixir, Phoenix, CI/CD, Linux, Curl, Nu-Shell, Bash, Scripting GitHub, Linux, DevOps"
exp-details-gastro-techstack-point-2,"GitHub, Azure CI-CD, Azure-PostgresSQL, Azure-Redis, SCRUM, Agile Methodologies, DevOps, Docker","GitHub, Azure CI-CD, Azure-PostgresSQL, Azure-Redis, SCRUM, Agile Methoden, DevOps, Docker"
exp-details-cnc-title,Entrepreneur | Product Developer & IoT Solution Engineer,Unternehmer | Produktentwickler & IoT-Lösungsingenieur
exp-cnc-place-duration,"Freelance | Bengaluru, India | June 2024 - Nov 2024","Freiberuflich | Bengaluru, Indien | Juni 2024 – Nov. 2024"
exp-details-cnc-clients,Techkunstler,Techkünstler
exp-details-cnc-text,"Conceptualized and developed an innovative IoT cloud-connected CNC manufacturing solution from concept to MVP in 4 months, creating a complete product ecosystem including hardware (3-axis portable CNC machine), SaaS platform, and subscription business model that reduced manufacturing costs.","Konzipiert und entwickelt eine innovative, mit der IoT-Cloud verbundene CNC-Fertigungslösung vom Konzept bis zum MVP in 4 Monaten und erstellt ein komplettes Produktökosystem einschließlich Hardware (tragbare 3-Achsen-CNC-Maschine), SaaS-Plattform und Abonnement-Geschäftsmodell, das die Herstellungskosten senkt."
exp-details-cnc-text-point-1,Executed market research analyzing competitor offerings and price points to define product positioning in underserved CNC manufacturing segments.,"Durchgeführte Marktforschung zur Analyse der Angebote und Preispunkte der Konkurrenz, um die Produktpositionierung in unterversorgten CNC-Fertigungssegmenten zu definieren."
exp-details-cnc-text-point-2,Gathered requirements directly from customers and created a comprehensive product roadmap.,Anforderungen direkt von Kunden erfasst und eine umfassende Produkt-Roadmap erstellt.
exp-details-cnc-text-point-3,Developed product roadmap with clear MVP milestones for both hardware and software components.,Entwickelte Produkt-Roadmap mit klaren MVP-Meilensteinen für Hardware- und Softwarekomponenten.
exp-details-cnc-text-point-4,Architected complete product lifecycle development from ideation through development to commercial launch.,Konzipiert für die Entwicklung des gesamten Produktlebenszyklus von der Ideenfindung über die Entwicklung bis hin zur Markteinführung.
exp-details-cnc-text-point-5,Established pricing strategy and subscription model aligned with market expectations.,Etablierte Preisstrategie und Abonnementmodell im Einklang mit den Markterwartungen.
exp-details-cnc-text-point-6,"Built a complete SaaS platform with payment integration using Microsoft Azure, enabling a subscription-based revenue model","Aufbau einer vollständigen SaaS-Plattform mit Zahlungsintegration unter Verwendung von Microsoft Azure, die ein abonnementbasiertes Umsatzmodell ermöglicht"
exp-details-cnc-techstack,Technology Stack,Technologie-Stack
exp-details-cnc-techstack-point-1,"C++, STM32, ESP32, BLE Low energy, Motor drivers, FluidNC, Gdb, llvm, Debugging, TDD, Bash, Yaml, grbl, G-Code, AutoCAD, AutoCAD-API, VB-Scripting, Linux, ESP-Now, UART, Hardware Debugging, STLINK JTAG, Core dump analysis","C++, STM32, ESP32, BLE Low Energy, Motortreiber, FluidNC, Gdb, llvm, Debugging, TDD, Bash, Yaml, grbl, G-Code, AutoCAD, AutoCAD-API, VB-Scripting, Linux, ESP-Now, UART, Hardware-Debugging, STLINK JTAG, Core-Dump-Analyse"
exp-details-cnc-techstack-point-2,"Web: Go-lang, Python, Azure Cloud, IoT, Grafana, Node.js, React, REST API, OAuth2, PostgreSQL, RazorPay API, OpenAPI, CI/CD, GitHub, Linux, DevOps, Docker","Web: Go-lang, Python, Azure Cloud, IoT, Grafana, Node.js, React, REST-API, OAuth2, PostgreSQL, RazorPay-API, OpenAPI, CI/CD, GitHub, Linux, DevOps, Docker"
exp-details-ai-auto-text,Delivered complete AI automation solutions using n8n. Integrated the AI automation into the existing websites and workflows.,Bereitstellung vollständiger KI-Automatisierungslösungen mit n8n. Integration der KI-Automatisierung in die vorhandenen Websites und Arbeitsabläufe.
exp-details-ai-auto-text-point-1,Integrate the AI into the existing websites and automate the sales funnel.,Integrieren Sie die KI in die bestehenden Websites und automatisieren Sie den Verkaufstrichter.
exp-details-ai-auto-text-point-2,Executed comprehensive workflow automation using n8n.,Umfassende Workflow-Automatisierung mit n8n durchgeführt.
exp-details-ai-auto-text-point-3,Create a sales funnel using a cold email approach. and provide dynamic notifications about the potential customers to the sales teams in Slack channels.,Erstellen Sie mithilfe eines Cold-E-Mail-Ansatzes einen Verkaufstrichter und senden Sie den Vertriebsteams in Slack-Kanälen dynamische Benachrichtigungen über potenzielle Kunden.
exp-details-ai-auto-text-point-4,Build custom RAG systems to answer customer queries in the form of AI chatbots.,"Erstellen Sie benutzerdefinierte RAG-Systeme, um Kundenanfragen in Form von KI-Chatbots zu beantworten."
exp-details-ai-auto-text-point-5,Create follow-up workflows and tracking mechanisms to enhance the sales ROI.,"Erstellen Sie Folge-Workflows und Tracking-Mechanismen, um den ROI des Vertriebs zu verbessern."
exp-details-ai-auto-text-point-6,Conduct market research on the best available models to address the specific problem and advise clients on better and more cost-effective alternatives.,Führen Sie Marktforschung zu den besten verfügbaren Modellen zur Lösung des spezifischen Problems durch und beraten Sie Kunden zu besseren und kostengünstigeren Alternativen.
exp-details-ai-auto-text-point-7,Integrate different AI providers into the system and evaluate the performance of the models for a given task using custom KPI’s.,Integrieren Sie verschiedene KI-Anbieter in das System und bewerten Sie die Leistung der Modelle für eine bestimmte Aufgabe mithilfe benutzerdefinierter KPIs.
exp-details-ai-auto-techstack,Technology Stack,Technologie-Stack
exp-details-ai-auto-techstack-point-1,"RAG, MCP, Agentic AI, n8n, Vapi, OpenAI, Claude, Gemini, Ollama, Huggingfaces, Python, Langchain, Langfuse, Pydantic AI, Crawl4AI, Smolagents","RAG, MCP, Agentic AI, n8n, Vapi, OpenAI, Claude, Gemini, Ollama, Huggingfaces, Python, Langchain, Langfuse, Pydantic AI, Crawl4AI, Smolagents"
exp-details-ai-auto-techstack-point-2,"Azure AI integrations, MLOps, DVC, Custom LLM's, Prompt Engineering.","Azure AI-Integrationen, MLOps, DVC, benutzerdefinierte LLMs, Prompt Engineering."
exp-details-ai-auto-techstack-point-3,"GitHub, Jenkins, CI-CD, Jira, , SCRUM, Agile Methodologies, DevOps, Docker","GitHub, Jenkins, CI-CD, Jira, SCRUM, Agile Methoden, DevOps, Docker"
exp-details-adas-sme-title,ADAS Subject Matter Expert (SME).,ADAS-Fachexperte (SME).
exp-sme-place-duration,"KPIT GmbH | Munich, Germany | Feb 2021 - May 2024","KPIT GmbH | München, Deutschland | Februar 2021 – Mai 2024"
exp-details-sme-clients,"Clients: Qualcomm, Volvo, Polstar, BYD and Geely","Kunden: Qualcomm, Volvo, Polstar, BYD und Geely"
exp-details-sme-text,"Served as “Subject Matter Expert” delivering technical architecture and product development for multiple Level 1-2 ADAS features, including Highway Pilot Assist, Adaptive Cruise Control (ACC), Lane Change Assist (LCA), Automatic Emergency Braking (AEB), and validation frameworks for Qualcomm's automotive platform. I have played multiple roles in this project as Solution Architecht, SCRUM Master and Product Owner.","Als Fachexperte war ich für die technische Architektur und Produktentwicklung mehrerer ADAS-Funktionen der Stufen 1 und 2 zuständig, darunter Highway Pilot Assist, Adaptive Cruise Control (ACC), Lane Change Assist (LCA), Automatic Emergency Braking (AEB) und Validierungsrahmen für die Automobilplattform von Qualcomm. Ich habe in diesem Projekt mehrere Rollen als Solution Architect, SCRUM Master und Product Owner übernommen."
exp-details-sme-text-point-1,"Developed and maintained Highway Pilot Assist feature, enabling lane centering functionality through road geometry fusion, sensor fusion, and lateral control systems","Entwicklung und Wartung der Funktion „Highway Pilot Assist“, die die Spurzentrierung durch Straßengeometriefusion, Sensorfusion und Querführungssysteme ermöglicht"
exp-details-sme-text-point-2,Implemented advanced algorithms for path planning and motion planning in autonomous driving scenarios,Implementierte fortschrittliche Algorithmen für die Pfadplanung und Bewegungsplanung in Szenarien des autonomen Fahrens
exp-details-sme-text-point-3,Developed state estimation models and Kalman filter implementations in C++ for sensor fusion and vehicle positioning,Entwicklung von Zustandsschätzungsmodellen und Kalman-Filterimplementierungen in C++ für Sensorfusion und Fahrzeugpositionierung
exp-details-sme-text-point-4,Managed complete product lifecycle from requirement gathering through deployment and maintenance for multiple ADAS features,Verwalte den gesamten Produktlebenszyklus von der Anforderungserfassung bis hin zur Bereitstellung und Wartung für mehrere ADAS-Funktionen
exp-details-sme-text-point-5,Served as primary technical liaison between Qualcomm engineers and Chinese OEM stakeholders,Fungierte als primärer technischer Verbindungsmann zwischen den Ingenieuren von Qualcomm und den Interessenvertretern chinesischer OEMs
exp-details-sme-text-point-6,Directed cross-functional development teams while implementing structured Agile workflows and quality gates,Leitung funktionsübergreifender Entwicklungsteams bei gleichzeitiger Implementierung strukturierter agiler Arbeitsabläufe und Qualitätstore
exp-details-sme-text-point-7,Created comprehensive product documentation and knowledge management systems for ADAS features.,Erstellt umfassende Produktdokumentation und Wissensmanagementsysteme für ADAS-Funktionen.
exp-details-sme-techstack,Technology Stack,Technologie-Stack
exp-details-sme-techstack-point-1,"C, C++, Python, MATLAB, Simulink, m-script, Bash, Linux, QNX, AURIX","C, C++, Python, MATLAB, Simulink, m-script, Bash, Linux, QNX, AURIX"
exp-details-sme-techstack-point-2,"MISRAL, AUTOSAR, ADASIS v2, CAN, CAN-FD, OBD-2, LIN, SOME-IP, CANoe, dSPACE, FlexRay, Software Defined Vehicle (SDV), Hardware In the Loop (HIL), Model In the Loop (MIL), Software In the Loop (SIL), Vehicle Testing, TDD, gTest, Unit testing.","MISRAL, AUTOSAR, ADASIS v2, CAN, CAN-FD, OBD-2, LIN, SOME-IP, CANoe, dSPACE, FlexRay, Software Defined Vehicle (SDV), Hardware In the Loop (HIL), Model In the Loop (MIL), Software In the Loop (SIL), Fahrzeugtests, TDD, gTest, Unit-Tests."
exp-details-sme-techstack-point-3,"Gerrit, GitHub, Zull, Jenkins, CI-CD, Jira, Codebeamer, Confluence, Artifactory, SCRUM, Agile Methodologies, DevOps, Docker","Gerrit, GitHub, Zull, Jenkins, CI-CD, Jira, Codebeamer, Confluence, Artifactory, SCRUM, Agile Methoden, DevOps, Docker"
exp-details-adas-aspice-title,Test Automation Lead,Leiter Testautomatisierung
exp-adas-aspice-place-duration,"KPIT GmbH | Munich, Germany | Feb 2020 - Feb 2021 ","KPIT GmbH | München, Deutschland | Februar 2020 - Februar 2021"
exp-details-aspice-clients,"Clients: Qualcomm, Volvo, Polstar, BYD and Geely","Kunden: Qualcomm, Volvo, Polstar, BYD und Geely"
exp-details-aspice-text,"Lead a team of test engineers as “Test Automation Lead” for the ADAS features. Spearheaded the Test Automation for Qualcomm's automotive platform, adhering to the APSICE SYS-2, SYS-3 and SYS-5 Verfication and Validation specifications (V&V) model.","Leiten Sie als „Test Automation Lead“ ein Team von Testingenieuren für die ADAS-Funktionen. Leiten Sie die Testautomatisierung für die Automobilplattform von Qualcomm unter Einhaltung des APSICE SYS-2-, SYS-3- und SYS-5-Verifizierungs- und Validierungsspezifikationsmodells (V&V)."
exp-details-aspice-text-point-1,"Achived 100% Requirements coverage for the ADAS Leve-1 and Level-2 features such as ACC, Traffic Assist and Lane change assist","100 %ige Anforderungsabdeckung für ADAS-Funktionen der Stufen 1 und 2 wie ACC, Verkehrsassistent und Spurwechselassistent erreicht"
exp-details-aspice-text-point-2,Created detailed test plans and execution methodologies.,Erstellte detaillierte Testpläne und Ausführungsmethoden.
exp-details-aspice-text-point-3,Achived 100% Test coverage using dSPACE simulations for the complex ADAS usecases.,Mit dSPACE-Simulationen wurde für die komplexen ADAS-Anwendungsfälle eine Testabdeckung von 100 % erreicht.
exp-details-aspice-text-point-4,"Authored ASPICE SYS.2, SYS.3, and SYS.5 compliant requirements verification and Validation for ADAS features","Verfasste ASPICE SYS.2-, SYS.3- und SYS.5-konforme Anforderungsüberprüfung und -validierung für ADAS-Funktionen"
exp-details-aspice-text-point-5,Successfully achived EURO NCAP compliance for the features tested and validated using dSPACE.,Erfolgreiche Erreichung der EURO NCAP-Konformität für die mit dSPACE getesteten und validierten Funktionen.
exp-details-aspice-text-point-6,Directed cross-functional development teams while implementing structured Agile workflows and quality gates,Leitung funktionsübergreifender Entwicklungsteams bei gleichzeitiger Implementierung strukturierter agiler Arbeitsabläufe und Qualitätstore
exp-details-aspice-text-point-7,Created comprehensive product test documentation and knowledge management systems for ADAS features.,Erstellte umfassende Produkttestdokumentation und Wissensmanagementsysteme für ADAS-Funktionen.
exp-details-aspice-techstack,Technology Stack,Technologie-Stack
exp-details-aspice-techstack-point-1,"C++, Python, MATLAB, Simulink, m-script, Bash, Linux, QNX, AURIX","C++, Python, MATLAB, Simulink, m-script, Bash, Linux, QNX, AURIX"
exp-details-aspice-techstack-point-2,"MISRAL, AUTOSAR, ADASIS v2, CAN, CAN-FD, OBD-2, LIN, SOME-IP, CANoe, dSPACE, FlexRay, Software Defined Vehicle (SDV), Hardware In the Loop (HIL), Model In the Loop (MIL), Software In the Loop (SIL), Vehicle Testing, TDD, gTest, Unit testing.","MISRAL, AUTOSAR, ADASIS v2, CAN, CAN-FD, OBD-2, LIN, SOME-IP, CANoe, dSPACE, FlexRay, Software Defined Vehicle (SDV), Hardware In the Loop (HIL), Model In the Loop (MIL), Software In the Loop (SIL), Fahrzeugtests, TDD, gTest, Unit-Tests."
exp-details-aspice-techstack-point-3,"Black box testing, White box testing, Field testing, System testing, Integration testing, Regression testing, E2E testing","Black-Box-Tests, White-Box-Tests, Feldtests, Systemtests, Integrationstests, Regressionstests, E2E-Tests"
exp-details-aspice-techstack-point-4,"Gerrit, GitHub, Zull, Jenkins, CI-CD, Jira, Codebeamer, Confluence, Artifactory, SCRUM, Agile Methodologies, DevOps, Docker","Gerrit, GitHub, Zull, Jenkins, CI-CD, Jira, Codebeamer, Confluence, Artifactory, SCRUM, Agile Methoden, DevOps, Docker"
exp-details-adas-bmw-cv-title,Computer Vision Engineer,Computer Vision Engineer
exp-details-bmw-cv-clients,Clients: BMW and Mobileye,Kunden: BMW und Mobileye
exp-details-bmw-cv-text,"Architected a validation framework for BMW's autonomous drivingcamera systems, enabling objective performance measurement","Entwicklung eines Validierungsrahmens für die autonomen Fahrkamerasysteme von BMW, der eine objektive Leistungsmessung ermöglicht"
exp-details-bmw-cv-text-point-1,Developed computer vision algorithms for lane detection and road sign recognition validation using OpenCV libraries.,Entwicklung von Computer-Vision-Algorithmen zur Fahrspurerkennung und Validierung der Verkehrszeichenerkennung mithilfe von OpenCV-Bibliotheken.
exp-details-bmw-cv-text-point-2,Created visualization tools and dashboards for camera system performance analysis and defect identification,Erstellung von Visualisierungstools und Dashboards zur Leistungsanalyse von Kamerasystemen und zur Fehleridentifizierung
exp-details-bmw-cv-text-point-3,Established quantifiable KPIs to measure camera system performance and vendor accountability objectively.,Festgelegte quantifizierbare KPIs zur objektiven Messung der Leistung von Kamerasystemen und der Verantwortlichkeit des Anbieters.
exp-details-bmw-cv-text-point-4,Served as the primary technical interface between BMW vision specialists and development teams,Diente als primäre technische Schnittstelle zwischen den Vision-Spezialisten von BMW und den Entwicklungsteams
exp-details-bmw-cv-text-point-5,Managed product backlog prioritization and sprint planning for the timely delivery of validation features.,Verwaltete Priorisierung des Produkt-Backlogs und Sprint-Planung für die rechtzeitige Bereitstellung von Validierungsfunktionen.
exp-details-bmw-cv-text-point-6,Guided third-party data annotation vendors to improve ground truth data quality through detailed specifications.,Angeleitete Drittanbieter von Datenannotationen zur Verbesserung der Qualität von Ground-Truth-Daten durch detaillierte Spezifikationen.
exp-details-bmw-cv-techstack,Technology Stack,Technologie-Stack
exp-details-bmw-cv-techstack-point-1,"C++, OpenCV, OpenGL, Python, Bash, Linux","C++, OpenCV, OpenGL, Python, Bash, Linux"
exp-details-bmw-cv-techstack-point-2,"CMake, Bazel, TDD, gTest, Mocks, GDB, CoreDump Analysis, AUTOSAR, Image Processing algorithms, Computer Vision, Ground truth data annotation, Machine Learning.","CMake, Bazel, TDD, gTest, Mocks, GDB, CoreDump-Analyse, AUTOSAR, Bildverarbeitungsalgorithmen, Computer Vision, Ground-Truth-Datenannotation, maschinelles Lernen."
exp-details-bmw-cv-techstack-point-3,"GitHub, CI-CD, Jira, Confluence, Artifactory, Large Scale SCRUM, Agile Methodologies, DevOps, Docker","GitHub, CI-CD, Jira, Confluence, Artifactory, SCRUM im großen Maßstab, Agile Methoden, DevOps, Docker"
exp-details-anova-title,Network and ML Engineer,Netzwerk- und ML-Ingenieur
exp-details-anova-clients,"Clients: British Telecom, AT&T, and Bharathi Airtel","Kunden: British Telecom, AT&T und Bharathi Airtel"
exp-details-anova-text,"Architected and developed an innovative network monitoring platform from the ground up, transforming telecom infrastructure performance insights through machine learning analytics and real-time network diagnostics for major telecom operators such as British Telecom, AT&T, and Bharthi Airtel.","Konzipiert und entwickelt von Grund auf eine innovative Netzwerküberwachungsplattform, die durch maschinelle Lernanalysen und Echtzeit-Netzwerkdiagnosen Einblicke in die Leistung der Telekommunikationsinfrastruktur für große Telekommunikationsbetreiber wie British Telecom, AT&T und Bharthi Airtel ermöglicht."
exp-details-anova-text-point-1,Architected a core analytics engine using C++/DPDK.,Entwicklung einer zentralen Analyse-Engine mit C++/DPDK.
exp-details-anova-text-point-2,Developed machine learning (ML) models using Python and scikit-learn for network anomaly identification and failure prediction,Entwicklung von Machine-Learning-Modellen (ML) mit Python und Scikit-Learn zur Erkennung von Netzwerkanomalien und zur Fehlervorhersage
exp-details-anova-text-point-3,"Designed and implemented network KPIs quantifying Quality of Service, signal integrity, and critical telecom metrics","Entwickelte und implementierte Netzwerk-KPIs zur Quantifizierung der Dienstqualität, Signalintegrität und kritischer Telekommunikationsmetriken"
exp-details-anova-text-point-4,"Built visualization dashboards, transforming complex network data into actionable insights for operations teams","Erstellen Sie Visualisierungs-Dashboards, die komplexe Netzwerkdaten in umsetzbare Erkenntnisse für Betriebsteams umwandeln"
exp-details-anova-text-point-5,Created deployment automation tools streamlining product updates across client data centers,"Erstellung von Tools zur Automatisierung der Bereitstellung, die Produktaktualisierungen in allen Rechenzentren der Kunden optimieren"
exp-details-anova-text-point-6,Mentored engineering teams on telecom protocols and machine learning implementation best practices,Betreuung von Ingenieurteams bei Telekommunikationsprotokollen und Best Practices zur Implementierung von maschinellem Lernen
